ID Sach,Title,Link,Author,Rate,Description
10925109,Cho Tôi Xin Một Vé Đi Tuổi Thơ,https://www.goodreads.com/book/show/10925109-cho-t-i-xin-m-t-v-i-tu-i-th,Nguyễn Nhật Ánh,4.16,"Truyện Cho tôi xin một vé đi tuổi thơ là sáng tác mới nhất của nhà văn Nguyễn Nhật Ánh. Nhà văn mời người đọc lên chuyến tàu quay ngược trở lại thăm tuổi thơ và tình bạn dễ thương của 4 bạn nhỏ. Những trò chơi dễ thương thời bé, tính cách thật thà, thẳng thắn một cách thông minh và dại dột, những ước mơ tự do trong lòng… khiến cuốn sách có thể làm các bậc phụ huynh lo lắng"
11273677,Mắt Biếc,https://www.goodreads.com/book/show/11273677-m-t-bi-c,Nguyễn Nhật Ánh,4.04,"Một tác phẩm được nhiều người bình chọn là hay nhất của nhà văn này. Một tác phẩm đang được dịch và giới thiệu tại Nhật Bản (theo thông tin từ các báo)… Bởi sự trong sáng của một tình cảm, bởi cái kết thúc rất, rất buồn khi suốt câu chuyện vẫn là những điều vui, buồn lẫn lộn (cái kết thúc không như mong đợi của mọi người). Cũng bởi, mắt biếc… năm xưa nay đâu (theo lời một "
10433999,Tôi Thấy Hoa Vàng Trên Cỏ Xanh,https://www.goodreads.com/book/show/10433999-t-i-th-y-hoa-v-ng-tr-n-c-xanh,Nguyễn Nhật Ánh,4.02,"""Tôi thấy hoa vàng trên cỏ xanh"" truyện dài mới nhất của nhà văn vừa nhận giải văn chương ASEAN Nguyễn Nhật Ánh. Cuốn sách viết về tuổi thơ nghèo khó ở một làng quê, bên cạnh đề tài tình yêu quen thuộc, lần đầu tiên Nguyễn Nhật Ánh đưa vào tác phẩm của mình những nhân vật phản diện và đặt ra vấn đề đạo đức như sự vô tâm, cái ác.  81 chương ngắn là 81 câu chuyện nhỏ của nhữ"
10428411,Cô Gái Đến Từ Hôm Qua,https://www.goodreads.com/book/show/10428411-c-g-i-n-t-h-m-qua,Nguyễn Nhật Ánh,4.1,"Nếu ngày xưa còn bé, Thư luôn tự hào mình là cậu con trai thông minh có quyền bắt nạt và sai khiến các cô bé cùng lứa tuổi thì giờ đây khi lớn lên, anh luôn khổ sở khi thấy mình ngu ngơ và bị con gái “xỏ mũi”. Trong khi ngày bé anh luôn có thể khiến Tiểu Li, con bé hàng xóm ngốc nghếch, hứng chịu những trò nghịch ngợm của mình thì Việt An, cô bạn học thông minh lại đang kh"
10925246,Tôi Là Bêtô,https://www.goodreads.com/book/show/10925246-t-i-l-b-t,Nguyễn Nhật Ánh,4.15,"Tôi Là Bêtô là tác phẩm mới nhất của nhà văn chuyên viết cho thanh thiếu niên của Nguyễn Nhật Ánh. Anh đã được đông đảo bạn đọc biết đến qua các tác phẩm quen thuộc như Thằng quỷ nhỏ, Trại hoa vàng, Bong bóng lên trời, Cô gái đến từ hôm qua... và hai bộ truyện nhiều tập Kính vạn hoa và Chuyện xứ Lang Biang. Với Tôi là Bêtô, đây là lần đầu tiên anh viết một tác phẩm qua lời"
14624837,Có Hai Con Mèo Ngồi Bên Cửa Sổ,https://www.goodreads.com/book/show/14624837-c-hai-con-m-o-ng-i-b-n-c-a-s,Nguyễn Nhật Ánh,3.82,"Nhân vật chính thứ nhất tên là Gấu.Nhân vật thứ hai là Tí Hon.Nhân vật thứ ba, tên là…; còn nữa, nhân vật thứ tư, tên là…Để biết tại sao Gấu lại chơi thân với Tí Hon, thì mời bạn hãy mở sách ra.Gấu và Tí Hon thân nhau đến mức có thể chia sẻ từng chuyện vui buồn trong những phút giây mềm yếu, lo lắng và chăm sóc, giúp nhau từ miếng ăn đến “chiến lược” để tồn tại lâu dài.Tìn"
10419181,Còn Chút Gì Để Nhớ,https://www.goodreads.com/book/show/10419181-c-n-ch-t-g-nh,Nguyễn Nhật Ánh,4.16,"Đó là những kỷ niệm thời đi học của Chương, lúc mới bước chân vào Sài Gòn và làm quen với cuộc sống đô thị. Là những mối quan hệ bạn bè tưởng chừng hời hợt thoảng qua nhưng gắn bó suốt cuộc đời. Cuộc sống đầy biến động đã xô dạt mỗi người mỗi nơi, nhưng trải qua hàng mấy chục năm, những kỷ niệm ấy vẫn luôn níu kéo Chương về với một thời để nhớ."
32068852,Ngày Xưa Có Một Chuyện Tình,https://www.goodreads.com/book/show/32068852-ng-y-x-a-c-m-t-chuy-n-t-nh,Nguyễn Nhật Ánh,4.14,"Đúng như tên gọi, đây là cuốn sách về tình yêu, được viết theo một phong cách hoàn toàn khác lạ với nhà văn Nguyễn Nhật Ánh từ trước đến nay.Ngày xưa có một chuyện tình là một câu chuyện cảm động khi người ta yêu nhau, nỗi khát khao một hạnh phúc êm đềm ấm áp đến thế; hay đơn giản chỉ là chuyện ba người - anh, em, và người ấy…?Khi mở sách ra, độc giả sẽ được chứng kiến làn"
18139866,Ngồi Khóc Trên Cây,https://www.goodreads.com/book/show/18139866-ng-i-kh-c-tr-n-c-y,Nguyễn Nhật Ánh,4.01,"Tên sách có làm bạn tò mò? “Ngồi khóc trên cây” có vẻ là một truyện hành động của nhà văn Nguyễn Nhật Ánh?Bạn sẽ gặp, sau những câu thơ lãng mạn của chính tác giả làm đề từ, là cuộc sống trong một ngôi làng thơ mộng ven sông, kỳ nghỉ hè với nhân vật là những đứa trẻ mới lớn có vô vàn trò chơi đơn sơ hấp dẫn ghi dấu mãi trong lòng.Câu chuyện của cô bé Rùa và chàng sinh viên"
12376409,Bàn Có Năm Chỗ Ngồi,https://www.goodreads.com/book/show/12376409-b-n-c-n-m-ch-ng-i,Nguyễn Nhật Ánh,3.93,"Những nhân vật rất dễ thương, hoặc phải vượt qua những hoàn cảnh khó khăn, hoặc sẵn lòng chia sẻ với bạn bè, người thân… Thậm chí cả những nhân vật tạm gọi là “phe xấu” với nhiều trò đùa nghịch… cũng mang dáng dấp hồn nhiên. Tất cả hướng về Chân - Thiện - Mỹ.Họ là năm người bạn với năm cá tính và hoàn cảnh khác nhau cùng chung trong một lớp học. Những trò nghịch ngợm trẻ c"
