ID User,Name,Book,Review,Comment
51182413,Katie,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"I read this book in Vietnamese about five or six years back, when I first came to the U.S. I remember bringing this book from Vietnam as a gift from my cousin, whom I refer to as sister. This is a very lovely book from Nguyễn Nhật Ánh; he captures the easy-going, and exciting life of many Vietnamese children very well, and of course, this book was not written for children, rather, it was for adults who want a ticket back to their childhoods, a trip down the memory lane. This book serves that pur",What a lovely review! :)
18885455,Becky,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"I had a good five minute long internal debate with myself before reviewing this book because I read the translated work (the book is originally in Vietnamese) and I have mixed feelings about the book. I wonder if the reason I didn't enjoy the book is because of the content or because of how the original content was translated. With The Man with Compound Eyes, translation seemed pretty on point, with of course, some liberty taken for the sake of cohesion... Of course, I know Mandarin much better ","You are totally right. This guy tends to wander in his own thoughts and as time went by, his writings got more and more incoherent. He kept using sentences like ""Back then, the girl used to do this and that"", ""A while ago, I did not use to do this and that"", ""Back then, my mother/grandmother used to do this and that"". I remember there was one time I was reading his book, and within 3 paragraphs, he jumped from present day to the past and to the present day again, then to the past, and then to the present day again good LORD. And within that 3 paragraphs, he had like used his ""Back then..."" 3-4 times. After that I kind of gave up on him. His writing is no doubt the 'friendliest' Vietnamese lit out there, and can be read by anybody, but my advice would be that you should read his books that were written before 2000."
35043057,Renae,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"I had a good five minute long internal debate with myself before reviewing this book because I read the translated work (the book is originally in Vietnamese) and I have mixed feelings about the book. I wonder if the reason I didn't enjoy the book is because of the content or because of how the original content was translated. With The Man with Compound Eyes, translation seemed pretty on point, with of course, some liberty taken for the sake of cohesion... Of course, I know Mandarin much better ","Becky wrote: ""You are totally right. This guy tends to wander in his own thoughts and as time went by, his writings got more and more incoherent. He kept using sentences like ""Back then, the girl used to do this...""I get what you mean! I actually had to read this one part thrice because he said he ended up doing this... and in the next part he said oh but I didn't.Turns out, he did it in his childhood while playacting with friends, but in real life he didn't actually do it.Seriously..."
82952407,Thien Ha,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"I had a good five minute long internal debate with myself before reviewing this book because I read the translated work (the book is originally in Vietnamese) and I have mixed feelings about the book. I wonder if the reason I didn't enjoy the book is because of the content or because of how the original content was translated. With The Man with Compound Eyes, translation seemed pretty on point, with of course, some liberty taken for the sake of cohesion... Of course, I know Mandarin much better ",I think it's because the translation.I gave this book 3 stars but the translated?2stars
82952407,Thien Ha,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"I had a good five minute long internal debate with myself before reviewing this book because I read the translated work (the book is originally in Vietnamese) and I have mixed feelings about the book. I wonder if the reason I didn't enjoy the book is because of the content or because of how the original content was translated. With The Man with Compound Eyes, translation seemed pretty on point, with of course, some liberty taken for the sake of cohesion... Of course, I know Mandarin much better ",What does she have to do with you?This is a rating.NOT a chat page.Why do you ramdomly show up on hers?
95499413,Ivy Nguyen,Cho Tôi Xin Một Vé Đi Tuổi Thơ,i'm out of words to describe,Tiếp quyển Cảm ơn người lớn cho trọn vẹn luôn bạn :)
65853099,Regina / cà rốt và thỏ,Cho Tôi Xin Một Vé Đi Tuổi Thơ,i'm out of words to describe,"Ivy wrote: ""Tiếp quyển Cảm ơn người lớn cho trọn vẹn luôn bạn :)""mình đọc cuốn đó ngay khi nó mới ra rồi bạn ạ =))))) còn đi tgia kí tặng sách của bác Ánh =)))) hem thích bằng cuốn này"
95499413,Ivy Nguyen,Cho Tôi Xin Một Vé Đi Tuổi Thơ,i'm out of words to describe,So great ^^
14729561,Ben,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"This book sounded good on the surface, but turned out to be a rambling, random collection of the author's childhood memories that didn't seem to have much purpose. I got up to page 80 before abandoning this one. ","Sounds like you would resonate well with the ""parents"" in the story. It's good to hear a review with another perspective, though."
90920648,Linh Thuy,Mắt Biếc,"People love it because it's realistic. A good novel doesn't always have to have perfect characters. If you like perfect characters that much, you should read ""The Notebook"". Yes, Ngạn sounds like a loser, Hà Lan must be a utilitarian girl, Dũng is an f-boy. But that's why this story could have touched so many people- because it's realistic and it's relatable. We don't need to be Olympian Gods to love, to hate, to have meaningful memories and bitter experiences. Ngạn, as I said- is just a below-a","Hi bạn, mình có thể copy 1 phần comment của bạn cho Mắt Biếc để post trên trang FB của mình ko ạ? Vì mình thấy comment của bạn rất hay luôn."
74833069,Đỗ Hoàng,Mắt Biếc,"People love it because it's realistic. A good novel doesn't always have to have perfect characters. If you like perfect characters that much, you should read ""The Notebook"". Yes, Ngạn sounds like a loser, Hà Lan must be a utilitarian girl, Dũng is an f-boy. But that's why this story could have touched so many people- because it's realistic and it's relatable. We don't need to be Olympian Gods to love, to hate, to have meaningful memories and bitter experiences. Ngạn, as I said- is just a below-a","Linh wrote: ""Hi bạn, mình có thể copy 1 phần comment của bạn cho Mắt Biếc để post trên trang FB của mình ko ạ? Vì mình thấy comment của bạn rất hay luôn.""Uk bạn cứ thoải mái bạn ạ. Không có vấn đề gì hết đâu. Nếu bạn có thể ghi tên của mình nữa thì mình cũng sẽ rất vui. Nhưng nếu không thì cũng không sao hết đâu ^^"
